record_id,key,entry_type,year,title,author,booktitle,journal,publisher,doi,url,eprint,archiveprefix,note,cited_in_main,citation_count,first_cited_line
INC-011,StreamrootCenturyLink2019,misc,2019,{CenturyLink} Acquires Video Delivery Innovator {Streamroot},{PR Newswire},,,,,https://www.prnewswire.com/news-releases/centurylink-acquires-video-delivery-innovator-streamroot-300914777.html,,,,yes,1,1164
INC-012,Chen2023Darwin,inproceedings,2023,Darwin: Flexible Learning-Based {CDN} Caching,Jiayi Chen and Nihal Sharma and Tarannum Khan and Shu Liu and Brian Chang and Aditya Akella and Sanjay Shakkottai and Ramesh K. Sitaraman,Proceedings of the ACM SIGCOMM 2023 Conference,,ACM,10.1145/3603269.3604863,,,,,yes,2,644
INC-013,Torabi2024HRCache,inproceedings,2024,A Learning-Based Caching Mechanism for Edge Content Delivery,Hoda Torabi and Hamzeh Khazaei and Marin Litoiu,Proceedings of the 15th ACM/SPEC International Conference on Performance Engineering,,ACM,10.1145/3629526.3645037,,,,,yes,2,644
INC-014,Bai2024BlockchainCaching,article,2024,Blockchain Based Decentralized and Proactive Caching Strategy in Mobile Edge Computing Environment,Jingpan Bai and Silei Zhu and Houling Ji,,Sensors,,10.3390/s24072279,,,,,yes,3,896
INC-015,Keizer2024DecentralisedWebSurvey,article,2024,A Survey on Content Retrieval on the Decentralised Web,Navin V. Keizer and Onur Ascigil and Micha{\l} Kr{\'o}l and Dirk Kutscher and George Pavlou,,ACM Computing Surveys,,10.1145/3649132,,,,,yes,11,115
INC-016,Benet2014IPFS,misc,2014,"{IPFS}: Content Addressed, Versioned, {P2P} File System",Juan Benet,,,,,,1407.3561,arXiv,,yes,4,974
INC-017,Maymounkov2002Kademlia,inproceedings,2002,Kademlia: A Peer-to-Peer Information System Based on the {XOR} Metric,Petar Maymounkov and David Mazi{\`e}res,Peer-to-Peer Systems,,Springer,10.1007/3-540-45748-8\_5,,,,,yes,1,974
INC-018,ProtocolLabs2017Filecoin,techreport,2017,Filecoin: A Decentralized Storage Network,{Protocol Labs},,,,,https://filecoin.io/filecoin.pdf,,,,yes,2,974
INC-019,Trautwein2022IPFSDesign,inproceedings,2022,Design and Evaluation of {IPFS}: A Storage Layer for the Decentralized Web,Dennis Trautwein and Aravindh Raman and Gareth Tyson and Ignacio Castro and Will Scott and Moritz Schubotz and Bela Gipp and Yiannis Psaras,Proc. ACM SIGCOMM 2022 Conference,,ACM,10.1145/3544216.3544232,,,,Preprint: arXiv:2208.05877,yes,2,976
INC-020,Daniel2022IPFSChurn,inproceedings,2022,Passively Measuring {IPFS} Churn and Network Size,Erik Daniel and Florian Tschorsch,Proc. IEEE 42nd Int. Conf. Distributed Computing Systems Workshops (ICDCSW),,IEEE,10.1109/ICDCSW56584.2022.00020,,,,Preprint: arXiv:2205.14927,yes,1,1008
